country,year,gdpgrowth,st_break_1994,st_break_1995,st_break_1996,st_break_1997,st_break_1998,st_break_1999,st_break_2000,st_break_2001,st_break_2002,st_break_2003,st_break_2004,st_break_2005,st_break_2006,st_break_2007,st_break_2008,st_break_2009,st_break_2010,st_break_2011,st_break_2012,st_break_2013,st_break_2014,st_break_2015,st_break_2016,st_break_2017
AFG,1981,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1982,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1983,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1984,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1985,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1986,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1987,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1988,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1989,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1990,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1991,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1992,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1993,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1994,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1995,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1996,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1997,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1998,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1999,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2000,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2001,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2002,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2003,8.8322783,,,,,,,,,,,,,,,,,,,,,,,2011,2011
AFG,2004,1.4141179,,,,,,,,,,,,,,,,,,,,,,,,2011
AFG,2005,11.229714,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2006,5.3574033,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2007,13.82632,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2008,3.9249837,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2009,21.390528,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2010,14.362441,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2011,0.4263548,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2012,12.752287,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2013,5.6007447,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2014,2.7245433,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2015,1.4513147,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2016,2.2603142,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2017,2.665292,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2018,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1981,5.7456355,1990,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
ALB,1982,2.9485967,,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
ALB,1983,1.1049383,,,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
ALB,1984,-1.2515967,,,,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
ALB,1985,1.7806439,,,,,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
ALB,1986,5.6372433,,,,,,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
ALB,1987,-0.78784263,,,,,,,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
ALB,1988,-1.4200397,,,,,,,,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
ALB,1989,9.8365488,,,,,,,,,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994
ALB,1990,-9.5756397,,,,,,,,,,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1995,1995
ALB,1991,-29.588997,,,,,,,,,,,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1998
ALB,1992,-7.1999998,,,,,,,,,,,,1998,1998,1998,1998,1998,1998,1998,2009,2009,2009,2009,2009,2009
ALB,1993,9.6000004,,,,,,,,,,,,,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997
ALB,1994,8.3000002,,,,,,,,,,,,,,1997,1997,1997,1997,1997,1997,1997,2009,2009,2009,2009
ALB,1995,13.3,,,,,,,,,,,,,,,1998,1998,1998,2009,2009,2009,2009,2009,2009,2009
ALB,1996,9.1000004,,,,,,,,,,,,,,,,1999,1999,1999,2009,2009,2009,2009,2009,2009
ALB,1997,-10.92,,,,,,,,,,,,,,,,,2000,2009,2009,2009,2009,2009,2009,2009
ALB,1998,8.8299999,,,,,,,,,,,,,,,,,,2002,2002,2009,2009,2009,2009,2009
ALB,1999,12.89,,,,,,,,,,,,,,,,,,,2002,2009,2009,2009,2009,2009
ALB,2000,6.9499998,,,,,,,,,,,,,,,,,,,,2009,2009,2009,2009,2009
ALB,2001,8.29,,,,,,,,,,,,,,,,,,,,,2009,2009,2009,2009
ALB,2002,4.54,,,,,,,,,,,,,,,,,,,,,,2009,2009,2009
ALB,2003,5.5300002,,,,,,,,,,,,,,,,,,,,,,,2009,2009
ALB,2004,5.5100002,,,,,,,,,,,,,,,,,,,,,,,,2009
ALB,2005,5.5300002,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2006,5.9000001,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2007,5.98,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2008,7.5,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2009,3.3499999,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2010,3.71,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2011,2.55,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2012,1.42,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2013,1,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2014,1.77,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2015,2.22,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2016,3.3499999,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2017,3.8355439,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2018,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,1981,2.9999962,1986,1986,1986,1986,1986,1986,1986,1986,1986,1998,1998,1998,1998,1998,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1982,6.4000039,,1986,1986,1986,1986,1986,1986,1986,1986,1986,1998,1998,1998,1998,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1983,5.400003,,,1986,1986,1986,1986,1986,1986,1995,1995,1995,1998,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1984,5.5999966,,,,1987,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1985,3.6999972,,,,,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1986,0.40000099,,,,,,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1987,-0.69999754,,,,,,,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1988,-1.0000055,,,,,,,,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1989,4.400002,,,,,,,,,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1990,0.80000061,,,,,,,,,,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
DZA,1991,-1.2000005,,,,,,,,,,,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996
DZA,1992,1.8000023,,,,,,,,,,,,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996
DZA,1993,-2.1000009,,,,,,,,,,,,,1996,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998
DZA,1994,-0.89999658,,,,,,,,,,,,,,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
