Description,Name,Code
Select,Select,SELECT
GDP (current US$),gdp,NY.GDP.MKTP.CD
GDP (constant 2010 US$),gdpc,NY.GDP.MKTP.KD
GDP per capita (current US$),gdppc,NY.GDP.PCAP.CD
GDP per capita (constant 2010 US$),gdppcc,NY.GDP.PCAP.KD
"GDP per capita, PPP (current international $)",gdppc_ppp,NY.GDP.PCAP.PP.CD
"GDP per capita, PPP (constant 2011 international $)",gdppc_pppc,NY.GDP.PCAP.PP.KD
GDP per capita growth (annual %),gdppcg,NY.GDP.PCAP.KD.ZG
GDP growth (annual %),gdpg,NY.GDP.MKTP.KD.ZG
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),poverty,SI.POV.DDAY
GINI index (World Bank estimate),gini,SI.POV.GINI
"Population, total",pop,SP.POP.TOTL
Rural population (% of total population),rural,SP.RUR.TOTL.ZS
Population ages 0-14 (% of total),pop0_14,SP.POP.0014.TO.ZS
Population ages 15-64 (% of total),pop15_64,SP.POP.1564.TO.ZS
Population ages 65 and above (% of total),pop65up,SP.POP.65UP.TO.ZS
Population growth (annual %),popg,SP.POP.GROW
Age dependency ratio (% of working-age population),dependency,SP.POP.DPND
"Age dependency ratio, old (% of working-age population)",depend_old,SP.POP.DPND.OL
"Age dependency ratio, young (% of working-age population)",depend_young,SP.POP.DPND.YG
"Fertility rate, total (births per woman)",fertility,SP.DYN.TFRT.IN
"Life expectancy at birth, total (years)",lifeexp,SP.DYN.LE00.IN
Total natural resources rents (% of GDP),natural_resource,NY.GDP.TOTL.RT.ZS
Oil rents (% of GDP),oil,NY.GDP.PETR.RT.ZS
"Agriculture, value added (% of GDP)",agr_vas,NV.AGR.TOTL.ZS
"Industry, value added (% of GDP)",ind_vas,NV.IND.TOTL.ZS
"Manufacturing, value added (% of GDP)",manuf_vas,NV.IND.MANF.ZS
"Services, value added (% of GDP)",srv_vas,NV.SRV.TOTL.ZS
Employment in agriculture (% of total employment) (modeled ILO estimate),agr_emps,SL.AGR.EMPL.ZS
Employment in industry (% of total employment) (modeled ILO estimate),ind_emps,SL.IND.EMPL.ZS
Employment in services (% of total employment) (modeled ILO estimate),srv_emps,SL.SRV.EMPL.ZS
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",emp2pop,SL.EMP.TOTL.SP.ZS
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",labforcep,SL.TLF.ACTI.ZS
"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemp,SL.UEM.TOTL.ZS
Human Capital Index (HCI) (scale 0-1),hci,HD.HCI.OVRL
"Literacy rate, adult total (% of people ages 15 and above)",literacy,SE.ADT.LITR.ZS
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",college,SE.TER.CUAT.BA.ZS
Researchers in R&D (per million people),RnD,SP.POP.SCIE.RD.P6
"Patent applications, residents",patent,IP.PAT.RESD
Research and development expenditure (% of GDP),rdexp,GB.XPD.RSDV.GD.ZS
High-technology exports (% of manufactured exports),hightechexp,TX.VAL.TECH.MF.ZS
Exports of goods and services (% of GDP),export,NE.EXP.GNFS.ZS
Imports of goods and services (% of GDP),import,NE.IMP.GNFS.ZS
Trade (% of GDP),trade,NE.TRD.GNFS.ZS
Trade in services (% of GDP),servtrade,BG.GSR.NFSV.GD.ZS
Merchandise trade (% of GDP),merchantrade,TG.VAL.TOTL.GD.ZS
"International tourism, receipts (% of total exports)",tourism,ST.INT.RCPT.XP.ZS
"Foreign direct investment, net inflows (% of GDP)",FDIinflow,BX.KLT.DINV.WD.GD.ZS
"Foreign direct investment, net outflows (% of GDP)",FDIoutflow,BM.KLT.DINV.WD.GD.ZS
Access to electricity (% of population),electricity,EG.ELC.ACCS.ZS
Logistics performance index: Overall (1=low to 5=high),logistics,LP.LPI.OVRL.XQ
Mobile cellular subscriptions (per 100 people),mobilesub,IT.CEL.SETS.P2
Fixed telephone subscriptions (per 100 people),telephone,IT.MLT.MAIN.P2
Individuals using the Internet (% of population),internet,IT.NET.USER.ZS
Fixed broadband subscriptions (per 100 people),broadband,IT.NET.BBND.P2
"Central government debt, total (% of GDP)",govdebt,GC.DOD.TOTL.GD.ZS
"Revenue, excluding grants (% of GDP)",revenue,GC.REV.XGRT.GD.ZS
Tax revenue (% of GDP),tax,GC.TAX.TOTL.GD.ZS
Control of Corruption: Estimate,corruption,CC.EST
Government Effectiveness: Estimate,goveff,GE.EST
Political Stability and Absence of Violence/Terrorism: Estimate,polstability,PV.EST
Regulatory Quality: Estimate,regulation,RQ.EST
Rule of Law: Estimate,ruleoflaw,RL.EST
Voice and Accountability: Estimate,voice,VA.EST
Ease of doing business index (1=most business-friendly regulations),doingbusi,IC.BUS.EASE.XQ
